mode,minutes,contracts,consumers,mean_ms_per_refresh,p95_ms_per_refresh,allocated_bytes_per_refresh,input_events
PreviousCompletedFixed,1,42,1,1.8755,2.7430,5836152,60480
PreviousCompletedFixed,1,42,2,4.3364,6.7732,11670672,120960
PreviousCompletedFixed,1,42,8,9.8294,14.7240,46679905,483840
PreviousCompletedFixed,1,84,1,2.1273,3.5988,11672484,120960
PreviousCompletedFixed,1,84,2,3.8670,7.1713,23341090,241920
PreviousCompletedFixed,1,84,8,15.9442,19.3312,93355625,967680
PreviousCompletedFixed,3,42,1,1.8000,4.5946,5835976,60480
PreviousCompletedFixed,3,42,2,1.9243,3.0576,11672113,120960
PreviousCompletedFixed,3,42,8,9.5727,14.2699,46680828,483840
PreviousCompletedFixed,3,84,1,2.6486,3.5335,11670822,120960
PreviousCompletedFixed,3,84,2,6.5073,8.8653,23342381,241920
PreviousCompletedFixed,3,84,8,19.9888,27.3935,93355862,967680
PreviousCompletedFixed,5,42,1,1.1633,4.3627,5836366,60480
PreviousCompletedFixed,5,42,2,4.3207,7.5137,11670426,120960
PreviousCompletedFixed,5,42,8,10.0887,13.3975,46679920,483840
PreviousCompletedFixed,5,84,1,1.8311,2.1618,11671488,120960
PreviousCompletedFixed,5,84,2,5.8732,8.0004,23341928,241920
PreviousCompletedFixed,5,84,8,16.0240,19.1284,93355288,967680
PreviousCompletedFixed,10,42,1,1.5613,3.9741,5836269,60480
PreviousCompletedFixed,10,42,2,3.3697,5.5966,11670723,120960
PreviousCompletedFixed,10,42,8,7.6667,15.1498,46677514,483840
PreviousCompletedFixed,10,84,1,3.3713,5.2918,11670604,120960
PreviousCompletedFixed,10,84,2,6.3483,10.3882,23342297,241920
PreviousCompletedFixed,10,84,8,18.0667,25.5002,93356014,967680
Rolling,1,42,1,0.0618,0.0861,116392,504
Rolling,1,42,2,0.1073,0.1203,232795,1008
Rolling,1,42,8,0.4457,0.4459,931147,4032
Rolling,1,84,1,0.1438,0.3064,232795,1008
Rolling,1,84,2,0.2163,0.2190,465579,2016
Rolling,1,84,8,0.9431,1.2735,1862305,8064
Rolling,3,42,1,0.0956,0.1014,213160,1512
Rolling,3,42,2,0.1797,0.1968,426331,3024
Rolling,3,42,8,0.8921,1.1552,1705313,12096
Rolling,3,84,1,0.1535,0.1741,426331,3024
Rolling,3,84,2,0.3220,0.4241,852651,6048
Rolling,3,84,8,1.2891,1.4204,3410616,24192
Rolling,5,42,1,0.0998,0.1057,309928,2520
Rolling,5,42,2,0.2427,0.3636,619867,5040
Rolling,5,42,8,1.0436,1.3345,2479468,20160
Rolling,5,84,1,0.2572,0.2756,619867,5040
Rolling,5,84,2,1.1633,2.4655,1239999,10080
Rolling,5,84,8,1.7848,2.0399,4958937,40320
Rolling,10,42,1,0.2111,0.2789,551859,5040
Rolling,10,42,2,0.4627,0.8407,1103718,10080
Rolling,10,42,8,1.6053,1.8322,4414862,40320
Rolling,10,84,1,0.3977,0.5414,1103718,10080
Rolling,10,84,2,0.9286,1.1978,2207436,20160
Rolling,10,84,8,3.3696,3.7013,8829724,80640
