mode,minutes,contracts,consumers,mean_ms_per_refresh,p95_ms_per_refresh,allocated_bytes_per_refresh,input_events
PreviousCompletedFixed,1,42,1,0.0003,0.0014,224,60480
PreviousCompletedFixed,1,42,2,0.0005,0.0006,448,120960
PreviousCompletedFixed,1,42,8,0.0010,0.0014,1792,483840
PreviousCompletedFixed,1,84,1,0.0003,0.0004,448,120960
PreviousCompletedFixed,1,84,2,0.0006,0.0010,896,241920
PreviousCompletedFixed,1,84,8,0.0023,0.0028,3584,967680
PreviousCompletedFixed,3,42,1,0.0002,0.0002,224,60480
PreviousCompletedFixed,3,42,2,0.0003,0.0005,448,120960
PreviousCompletedFixed,3,42,8,0.0010,0.0015,1792,483840
PreviousCompletedFixed,3,84,1,0.0003,0.0003,448,120960
PreviousCompletedFixed,3,84,2,0.0006,0.0011,896,241920
PreviousCompletedFixed,3,84,8,0.0023,0.0029,3584,967680
PreviousCompletedFixed,5,42,1,0.0002,0.0002,224,60480
PreviousCompletedFixed,5,42,2,0.0003,0.0003,448,120960
PreviousCompletedFixed,5,42,8,0.0012,0.0016,1792,483840
PreviousCompletedFixed,5,84,1,0.0004,0.0005,448,120960
PreviousCompletedFixed,5,84,2,0.0006,0.0010,896,241920
PreviousCompletedFixed,5,84,8,0.0024,0.0028,3584,967680
PreviousCompletedFixed,10,42,1,0.0001,0.0002,224,60480
PreviousCompletedFixed,10,42,2,0.0003,0.0003,448,120960
PreviousCompletedFixed,10,42,8,0.0011,0.0016,1792,483840
PreviousCompletedFixed,10,84,1,0.0003,0.0003,448,120960
PreviousCompletedFixed,10,84,2,0.0005,0.0011,896,241920
PreviousCompletedFixed,10,84,8,0.0019,0.0023,3584,967680
Rolling,1,42,1,0.0331,0.0419,45512,504
Rolling,1,42,2,0.0557,0.0577,91024,1008
Rolling,1,42,8,0.2588,0.3173,364096,4032
Rolling,1,84,1,0.0609,0.0647,91024,1008
Rolling,1,84,2,0.1325,0.1412,182048,2016
Rolling,1,84,8,0.5420,0.5870,728192,8064
Rolling,3,42,1,0.0302,0.0309,45512,1512
Rolling,3,42,2,0.0789,0.0804,91024,3024
Rolling,3,42,8,0.2636,0.3899,364096,12096
Rolling,3,84,1,0.0871,0.1814,91024,3024
Rolling,3,84,2,0.1292,0.1365,182048,6048
Rolling,3,84,8,0.8587,0.9627,728192,24192
Rolling,5,42,1,0.0443,0.0452,45512,2520
Rolling,5,42,2,0.0687,0.0690,91024,5040
Rolling,5,42,8,0.2944,0.6140,364096,20160
Rolling,5,84,1,0.0598,0.0716,91024,5040
Rolling,5,84,2,0.1453,0.2205,182048,10080
Rolling,5,84,8,0.6181,0.7958,728192,40320
Rolling,10,42,1,0.0347,0.0364,45512,5040
Rolling,10,42,2,0.0693,0.0720,91024,10080
Rolling,10,42,8,0.2466,0.2542,364096,40320
Rolling,10,84,1,0.0932,0.0934,91024,10080
Rolling,10,84,2,0.1326,0.1369,182048,20160
Rolling,10,84,8,0.5514,0.6554,728192,80640
