mode,minutes,contracts,consumers,mean_ms_per_refresh,p95_ms_per_refresh,allocated_bytes_per_refresh,input_events
PreviousCompletedFixed,1,42,1,1.7132,2.8746,5815989,60480
PreviousCompletedFixed,1,42,2,3.5381,5.1848,11633620,120960
PreviousCompletedFixed,1,42,8,9.1626,12.4606,46526555,483840
PreviousCompletedFixed,1,84,1,2.0842,4.3886,11632470,120960
PreviousCompletedFixed,1,84,2,3.5397,5.0584,23264554,241920
PreviousCompletedFixed,1,84,8,17.1449,24.3924,93047945,967680
PreviousCompletedFixed,3,42,1,0.9600,1.8881,5815200,60480
PreviousCompletedFixed,3,42,2,2.5394,4.0957,11634980,120960
PreviousCompletedFixed,3,42,8,9.1407,13.3123,46527755,483840
PreviousCompletedFixed,3,84,1,2.3260,3.7017,11634459,120960
PreviousCompletedFixed,3,84,2,3.7469,5.7003,23265807,241920
PreviousCompletedFixed,3,84,8,16.2431,27.6038,93045404,967680
PreviousCompletedFixed,5,42,1,1.2566,3.0905,5818074,60480
PreviousCompletedFixed,5,42,2,3.1318,4.0413,11633630,120960
PreviousCompletedFixed,5,42,8,6.8777,10.3814,46524646,483840
PreviousCompletedFixed,5,84,1,2.3947,3.8032,11633728,120960
PreviousCompletedFixed,5,84,2,4.3858,5.9264,23264257,241920
PreviousCompletedFixed,5,84,8,18.2131,33.9036,93045140,967680
PreviousCompletedFixed,10,42,1,0.6000,0.7537,5815200,60480
PreviousCompletedFixed,10,42,2,1.9676,3.3047,11633208,120960
PreviousCompletedFixed,10,42,8,8.8342,11.9465,46525854,483840
PreviousCompletedFixed,10,84,1,1.4775,1.9472,11633096,120960
PreviousCompletedFixed,10,84,2,5.6421,7.6472,23263442,241920
PreviousCompletedFixed,10,84,8,17.3605,30.7408,93045969,967680
Rolling,1,42,1,0.0535,0.0644,120352,504
Rolling,1,42,2,0.1310,0.1458,240704,1008
Rolling,1,42,8,0.4997,0.8726,962816,4032
Rolling,1,84,1,0.1525,0.2234,240704,1008
Rolling,1,84,2,0.2557,0.2724,481408,2016
Rolling,1,84,8,0.9314,1.0828,1925632,8064
Rolling,3,42,1,0.1102,0.1685,217120,1512
Rolling,3,42,2,0.1746,0.2420,434240,3024
Rolling,3,42,8,0.7433,1.2341,1736960,12096
Rolling,3,84,1,0.1552,0.1739,434240,3024
Rolling,3,84,2,0.3863,0.7435,868480,6048
Rolling,3,84,8,1.3768,1.7658,3473920,24192
Rolling,5,42,1,0.1337,0.1181,313888,2520
Rolling,5,42,2,0.2479,0.3616,627776,5040
Rolling,5,42,8,0.9234,1.0147,2511104,20160
Rolling,5,84,1,0.2385,0.2656,627776,5040
Rolling,5,84,2,0.5206,0.8249,1255552,10080
Rolling,5,84,8,1.7877,1.8765,5022208,40320
Rolling,10,42,1,0.2366,0.2475,555808,5040
Rolling,10,42,2,0.3945,0.4528,1111616,10080
Rolling,10,42,8,1.6512,1.9232,4446464,40320
Rolling,10,84,1,0.3994,0.5019,1111616,10080
Rolling,10,84,2,0.7959,0.9121,2223232,20160
Rolling,10,84,8,3.3219,3.6720,8892928,80640
